id_releve,x_l93,y_l93,x_UTM32N,y_UTM32N
10971276,968782,6432071,295491,4979068
10971277,968552,6432210,295271,4979224
10971278,968535,6432336,295264,4979351
10971279,969305,6431884,295998,4978842
10971280,968947,6431895,295642,4978880
10971281,968632,6432036,295338,4979044
10971282,969225,6432032,295930,4978996
10971283,968943,6431494,295608,4978480
10971284,968850,6431576,295521,4978569
10971285,969239,6431899,295934,4978862
10971286,968859,6431532,295527,4978524
10971287,968696,6431864,295389,4978868
10971288,969229,6432176,295944,4979139
10971289,968655,6431982,295357,4978989
10971290,968592,6432186,295310,4979197
10971291,968514,6432328,295242,4979345
10971292,968643,6431959,295343,4978967
10971293,968882,6432030,295587,4979020
10971294,968728,6431938,295427,4978939
10971295,968544,6432153,295259,4979168
10971296,968935,6431560,295605,4978547
10971297,968919,6431505,295585,4978493
10971298,968644,6431940,295343,4978948
